Fedor Emelianenko;Heavyweight;Fedor, Emelianenko
Antonio Rodrigo Nogueira;Heavyweight, Light heavyweight;Minotauro, Big Nog
Fabricio Werdum;Heavyweight;Fabricio, Werdum
Cain Velasquez;Heavyweight;Cain, Velasquez
Junior dos Santos;Heavyweight;Junior, Santos
Randy Couture;Heavyweight;Couture
Josh Barnett;Heavyweight;Barnett
Andrei Arlovski;Heavyweight;Andrei, Arlovski
Mirko Filipovic;Heavyweight;Mirko, Filipovic, Cro Cop
Mark Coleman;Heavyweight;Coleman
Frank Mir;Heavyweight;Mir
Bas Rutten;Heavyweight;Bas, Rutten
Royce Gracie;Heavyweight;Royce
Tim Sylvia;Heavyweight;Sylvia
Brock Lesnar;Heavyweight;Brock, Lesnar
Semmy Schilt;Heavyweight;Semmy, Schilt
Alistair Overeem;Heavyweight;Alistair, Overeem
Ken Shamrock;Heavyweight;
Mark Hunt;Heavyweight;Hunt
Antonio Silva;Heavyweight;Antonio, Silva
Masakatsu Funaki;Heavyweight;Masakatsu, Funaki
Dan Severn;Heavyweight;Severn
Daniel Cormier;Heavyweight, Light heavyweight;DC, D.C., D.C
Travis Browne;Heavyweight;Browne
Jon Jones;Light Heavyweight;Jon Bones
Chuck Liddell;Light Heavyweight;Liddell
Wanderlei Silva;Light Heavyweight;Wanderlei
Quinton Jackson;Light Heavyweight;Rampage
Mauricio Rua;Light Heavyweight;Mauricio, Rua
Lyoto Machida;Light Heavyweight;Lyoto, Machida
Rashad Evans;Light Heavyweight;Rashad, Evans
Tito Ortiz;Light Heavyweight;Tito, Ortiz
Dan Henderson;Light Heavyweight;Henderson
Randy Couture;Light Heavyweight;Couture
Forrest Griffin;Light Heavyweight;Forrest, Griffin
Vitor Belfort;Light Heavyweight;Vitor, Belfort
Alexander Gustafsson;Light Heavyweight;Alexander, Gustafsson
Frank Shamrock;Light Heavyweight;
Ricardo Arona;Light Heavyweight;Ricardo, Arona
Anthony Johnson;Light Heavyweight;Rumble
Phil Davis;Light Heavyweight;
Ryan Bader;Light Heavyweight;Bader
Yuki Kondo;Light Heavyweight;Yuki, Kondo
Guy Mezger;Light Heavyweight;Mezger
Paulo Filho;Light Heavyweight;Paulo, Filho
Renato Sobral;Light Heavyweight;Renato, Sobral
Gegard Mousasi;Light Heavyweight;Gegard, Mousasi
Anderson Silva;Middleweight;Anderson, Silva
Chris Weidman;Middleweight;Chris, Weidman, The Chris
Dan Henderson;Middleweight;Henderson, Hendo
Rich Franklin;Middleweight;Franklin
Nate Marquardt;Middleweight;Marquardt
Chael Sonnen;Middleweight;Chael, Sonnen
Ronaldo Souza;Middleweight;Souza
Murilo Bustamante;Middleweight;Murilo, Bustamante
Yushin Okami;Middleweight;Yushin, Okami
Luke Rockhold;Middleweight;Luke, Rockhold
Paulo Filho;Middleweight;Paulo, Filho
Matt Lindland;Middleweight;Lindland
Kazuo Misaki;Middleweight;Kazuo, Misaki
Ricardo Almeida;Middleweight;Almeida
Kiuma Kunioku;Middleweight;Kiuma, Kunioku
Gegard Mousasi;Middleweight;Gegard, Mousasi
Robbie Lawler;Middleweight, Welterweight;Robbie, Lawler
Evan Tanner;Middleweight;Evan, Tanner
Demian Maia;Middleweight, Welterweight;Demian, Maia
Dave Menne;Middleweight, Welterweight;Menne
Michael Bisping;Middleweight;Bisping
Jorge Santiago;Middleweight;Jorge, Santiago
Jake Shields;Middleweight, Welterweight;Jake, Shields
Hector Lombard;Middleweight;Hector, Lombard
Mark Munoz;Middleweight;Munoz
Georges St. Pierre;Welterweight;Georges, Pierre, GSP
Matt Hughes;Welterweight;Hughes
Johny Hendricks;Welterweight;Johny, Hendricks
Carlos Condit;Welterweight;Carlos, Condit
Jon Fitch;Welterweight;Fitch
Nick Diaz;Welterweight;Nick
B.J. Penn;Welterweight, Lightweight;BJ, Penn, B.J, B. J
Pat Miletich;Welterweight;Pat, Miletich
Rory MacDonald;Welterweight;Rory, MacDonald
Josh Koscheck;Welterweight;Josh, Koscheck
Thiago Alves;Welterweight;Thiago, Alves
Sean Sherk;Welterweight;Sean, Sherk
Hayato Sakurai;Welterweight;Hayato, Sakurai
Diego Sanchez;Welterweight;Diego, Sanchez
Karo Parisyan;Welterweight;Karo, Parisyan
Jake Ellenberger;Welterweight;Jake, Ellenberger
Matt Serra;Welterweight;Serra
Martin Kampmann;Welterweight;Martin, Kampmann
Dennis Hallman;Welterweight;Dennis, Hallman
Tetsuji Kato;Welterweight;Tetsuji, Kato
Ben Askren;Welterweight;Ben, Askren
Frankie Edgar;Lightweight;Frankie, Edgar
Ben Henderson;Lightweight;
Takanori Gomi;Lightweight;Takanori, Gomi
Gilbert Melendez;Lightweight;Gilbert, Melendez
Shinya Aoki;Lightweight;Shinya, Aoki
Anthony Pettis;Lightweight;Anthony, Pettis
Rafael dos Anjos;Lightweight;Rafael, Anjos, JDS
Eddie Alvarez;Lightweight;Eddie, Alvarez
Vitor Ribeiro;Lightweight;Ribeiro
Joachim Hansen;Lightweight;Joachim, Hansen
Tatsuya Kawajiri;Lightweight;Tatsuya, Kawajiri
Jens Pulver;Lightweight;Jens, Pulver
Gray Maynard;Lightweight;Gray, Maynard
Donald Cerrone;Lightweight;Donald, Cerrone, Cowboy
Caol Uno;Lightweight;Caol, Uno
Marcus Aurelio;Lightweight;Marcus, Aurelio
Kenny Florian;Lightweight;Kenny, Florian
Rumina Sato;Lightweight;Rumina, Sato
Yves Edwards;Lightweight;Yves, Edwards
Michael Chandler;Lightweight;Michael, Chandler
Gesias Cavalcante;Lightweight;Gesias, Cavalcante
Dokonjonosuke Mishima;Lightweight;Dokonjonosuke, Mishima
Sean Sherk;Lightweight;Sean, Sherk
Nate Diaz;Lightweight;Nate
Jose Aldo;Featherweight;Jose, Aldo
Urijah Faber;Featherweight;Urijah, Faber
Alexandre Franca Nogueira;Featherweight;
Mike Thomas Brown;Featherweight;Mike, Brown
Hatsu Hioki;Featherweight;Hatsu, Hioki
Chad Mendes;Featherweight;Chad, Mendes
Pat Curran;Featherweight;Pat, Curran
Noboru Asahi;Featherweight;Noboru, Asahi
Masakazu Imanari;Featherweight;Masakazu, Imanari
Patricio Freire;Featherweight;Patricio, Freire
Frankie Edgar;Featherweight;Frankie, Edgar
Conor McGregor;Featherweight;Conor, McGregor
Ricardo Lamas;Featherweight;Ricardo, Lamas
Jeff Curran;Featherweight;Jeff, Curran
Cub Swanson;Featherweight;Cub, Swanson
Marlon Sandro;Featherweight;Marlon, Sandro
Yoshiro Maeda;Featherweight;Yoshiro, Maeda
Hiroyuki Takaya;Featherweight;Hiroyuki, Takaya
Mark Hominick;Featherweight;Hominick
Naoya Uematsu;Featherweight;Naoya, Uematsu
Joao Roque;Featherweight;Joao, Roque
Wagnney Fabiano;Featherweight;Wagnney, Fabiano
Takeshi Inoue;Featherweight;Takeshi, Inoue
Antonio Carvalho;Featherweight;Antonio, Carvalho
Daniel Straus;Featherweight;Daniel, Straus
Renan Barao;Bantamweight;Renan, Barao
Miguel Torres;Bantamweight;Miguel, Torres
Dominick Cruz;Bantamweight;Dominick, Cruz
T.J. Dillashaw;Bantamweight;T.J, Dillashaw
Brian Bowles;Bantamweight;Brian, Bowles
Urijah Faber;Bantamweight;Urijah, Faber
Bibiano Fernandes;Bantamweight;Bibiano, Fernandes
Ryota Matsune;Bantamweight;Ryota, Matsune
Joseph Benavidez;Bantamweight, Flyweight;Joseph, Benavidez
Eduardo Dantas;Bantamweight;Eduardo, Dantas
Masahiro Oishi;Bantamweight;Masahiro, Oishi
Eddie Wineland;Bantamweight;Eddie, Wineland
Masakatsu Ueda;Bantamweight;Masakatsu, Ueda
Chase Beebe;Bantamweight;Chase, Beebe
Marcos Galvao;Bantamweight;Marcos, Galvao
Akitoshi Hokazono;Bantamweight;Akitoshi, Hokazono
Kazuhiro Sakamoto;Bantamweight;Kazuhiro, Sakamoto
Kentaro Imaizumi;Bantamweight;Kentaro, Imaizumi
Masakazu Imanari;Bantamweight;Masakazu, Imanari
Marlon Moraes;Bantamweight;Marlon, Moraes
Kenichi Tanaka;Bantamweight;Kenichi, Tanaka
Rani Yahya;Bantamweight;Rani, Yahya
Antonio Banuelos;Bantamweight;Antonio, Banuelos
Raphael Assuncao;Bantamweight;Assuncao
Hisao Ikeda;Bantamweight;Hisao, Ikeda
Demetrious Johnson;Flyweight;Demetrious, Johnson
Yasuhiro Urushitani;Flyweight;Yasuhiro, Urushitani
Mamoru Yamaguchi;Flyweight;Mamoru, Yamaguchi
Shinichi Kojima;Flyweight;Shinichi, Kojima
Jussier da Silva;Flyweight;Jussier, Silva
Jin Akimoto;Flyweight;Jin, Akimoto
Ian McCall;Flyweight;Ian, McCall
John Dodson;Flyweight;John, Dodson
Yuki Shojo;Flyweight, Strawweight;Yuki, Shojo
Ryuichi Miki;Flyweight;Ryuichi, Miki
Alexis Vila;Flyweight;Alexis, Vila
Junji Ikoma;Flyweight, Strawweight;Junji, Ikoma
Masatoshi Abe;Flyweight;Masatoshi, Abe
Homare Kuboyama;Flyweight;Homare, Kuboyama
Setsu Iguchi;Flyweight;Setsu, Iguchi
Josh Sampo;Flyweight;Josh, Sampo
Masaaki Sugawara;Flyweight;Masaaki, Sugawara
Robson Moura;Flyweight;Robson, Moura
Kiyotaka Shimizu;Flyweight;Kiyotaka, Shimizu
